,0
0,id
1,minimum_nights
2,availability_30
3,availability_60
4,availability_90
5,availability_365
6,price
7,has_availability
8,instant_bookable
9,host_id
10,host_total_listings_count
11,calculated_host_listings_count
12,calculated_host_listings_count_entire_homes
13,calculated_host_listings_count_private_rooms
14,calculated_host_listings_count_shared_rooms
15,host_name
16,host_since
17,host_acceptance_rate
18,host_response_time
19,host_is_superhost
20,host_neighbourhood
21,host_verifications
22,host_has_profile_pic
23,host_identity_verified
24,license
25,neighbourhood
26,neighbourhood_cleansed
27,review_scores_rating
28,review_scores_accuracy
29,review_scores_cleanliness
30,review_scores_checkin
31,review_scores_communication
32,review_scores_location
33,review_scores_value
34,reviews_per_month
35,number_of_reviews
36,number_of_reviews_ltm
37,number_of_reviews_l30d
38,first_review
39,last_review
40,bedrooms
41,beds
42,accommodates
43,name
44,property_type
45,room_type
46,bathrooms_text
47,amenities
48,date
49,has_availability_2
50,host_has_profile_pic_2
51,host_is_superhost_2
52,host_identity_verified_2
