,id,minimum_nights,availability_30,availability_60,availability_90,availability_365,price,has_availability,instant_bookable,host_id,host_total_listings_count,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_name,host_since,host_acceptance_rate,host_response_time,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,license,neighbourhood,neighbourhood_cleansed,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,bedrooms,beds,accommodates,name,property_type,room_type,bathrooms_text,amenities,date,has_availability_2,host_has_profile_pic_2,host_is_superhost_2,host_identity_verified_2
count,26401.0,26401.0,26401.0,26401.0,26401.0,26401.0,26401,26401,26401,26401.0,26233.0,26401.0,26401.0,26401.0,26401.0,26233,26233,22014,20573,26384,24440,26401,26233,26233,10284,17603,26401,20868.0,20733.0,20734.0,20731.0,20734.0,20731.0,20729.0,20868.0,26401.0,26401.0,26401.0,20868,20868,23846.0,25835.0,26401.0,26400,26401,26401,26368,26401,26401,26401.0,26233.0,26384.0,26233.0
unique,,,,,,,789,2,2,,,,,,,2782,2778,99,4,2,272,274,2,2,2103,36,39,,,,,,,,,,,,2571,1529,,,,10324,61,4,35,23003,4,,,,
top,,,,,,,$100.00,t,f,,,,,,,Blueground,2016-12-16,100%,within an hour,f,Northwest Washington,"['email', 'phone']",t,t,Exempt,"Washington, District of Columbia, United States","Capitol Hill, Lincoln Park",,,,,,,,,,,,2017-01-22,2022-06-05,,,,Live + Work + Stay + Easy | 1 BR in DC,Entire rental unit,Entire home/apt,1 bath,"[""Heating"", ""Wifi"", ""TV"", ""Pool"", ""Shampoo"", ""Dryer"", ""Essentials"", ""Refrigerator"", ""Smoke alarm"", ""Microwave"", ""Hair dryer"", ""Shower gel"", ""Lockbox"", ""Kitchen"", ""Stove"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Coffee maker"", ""Hot water"", ""Bed linens"", ""Gym"", ""Oven"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Cooking basics"", ""Washer"", ""Private entrance"", ""Hangers"", ""Air conditioning""]",2303,,,,
freq,,,,,,,596,24108,16524,,,,,,,860,860,6844,15577,18627,3126,14648,26078,22173,2893,16535,2332,,,,,,,,,,,,169,239,,,,179,9316,20081,14720,140,7403,,,,
mean,7.912746339712317e+16,20.149123139275027,8.84530888981478,22.006817923563503,37.96458467482292,167.93700996174388,,,,111554670.32635127,227.46208973430413,25.89095110033711,22.569182985492972,2.949092837392523,0.2706336881178743,,,,,,,,,,,,,4.7135226183630445,4.805123715815366,4.75429053728176,4.862240605855964,4.845970869103887,4.78966523563745,4.704421342081142,1.739804964539007,47.442293852505586,12.745047536078179,0.9910609446611871,,,1.5782101820011742,1.9626862783046255,3.6494450967766374,,,,,,,0.9131472292716185,0.9940914115808333,0.29400394178289874,0.8452331033431174
std,2.121420358471905e+17,40.79596399294496,10.69577628599607,22.27706625179547,33.68283096427376,137.507626544357,,,,129263349.68583217,865.9699746800881,56.38107658852374,54.50150049619046,15.394597119893815,1.8988166400458648,,,,,,,,,,,,,0.5381282979869818,0.35903673943723546,0.37662909144439566,0.3213485231284486,0.34637486418556934,0.3439941941824403,0.40182188838879557,2.1362662954469913,82.02391150226853,21.121162835087066,2.0946169316280434,,,0.9649256370473072,1.4079320189404174,2.327622456911609,,,,,,,0.28162452146052913,0.07664137860662207,0.455602339106581,0.36168921904040996
min,3571.0,1.0,0.0,0.0,0.0,0.0,,,,4492.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,1.0,1.0,0.0,,,,,,,0.0,0.0,0.0,0.0
25%,19038120.0,2.0,0.0,0.0,0.0,18.0,,,,14863336.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,4.67,4.77,4.68,4.86,4.84,4.73,4.64,0.29,1.0,0.0,0.0,,,1.0,1.0,2.0,,,,,,,1.0,1.0,0.0,1.0
50%,38104114.0,4.0,3.0,15.0,35.0,156.0,,,,48607342.0,3.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,4.85,4.91,4.87,4.96,4.95,4.9,4.8,1.08,12.0,2.0,0.0,,,1.0,2.0,3.0,,,,,,,1.0,1.0,0.0,1.0
75%,50380578.0,31.0,16.0,43.0,70.0,311.0,,,,161599427.0,14.0,10.0,4.0,1.0,0.0,,,,,,,,,,,,,4.97,5.0,4.99,5.0,5.0,5.0,4.92,2.56,56.0,18.0,1.0,,,2.0,2.0,4.0,,,,,,,1.0,1.0,1.0,1.0
max,7.855797769203007e+17,1125.0,30.0,60.0,90.0,365.0,,,,491596769.0,7476.0,235.0,235.0,170.0,20.0,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,105.0,892.0,507.0,119.0,,,15.0,50.0,16.0,,,,,,,1.0,1.0,1.0,1.0
